Ward,Precinct,Total Votes,Pritzker,JBP%,Rauner,BR%,Jackson,GKJ%,McCann,SM%,Registered_Voters,Ballots Cast,Turnout %
44,30,783.00,589.00,75.22,178.00,22.73,11.00,1.40,5.00,0.64,902.00,793.00,87.92
44,31,552.00,418.00,75.72,115.00,20.83,17.00,3.08,2.00,0.36,730.00,556.00,76.16
44,32,719.00,533.00,74.13,166.00,23.09,14.00,1.95,6.00,0.83,905.00,732.00,80.88
44,33,673.00,594.00,88.26,62.00,9.21,15.00,2.23,2.00,0.30,769.00,684.00,88.95
44,34,676.00,549.00,81.21,108.00,15.98,13.00,1.92,6.00,0.89,860.00,690.00,80.23
44,35,774.00,600.00,77.52,149.00,19.25,13.00,1.68,12.00,1.55,948.00,789.00,83.23
44,36,674.00,535.00,79.38,120.00,17.80,17.00,2.52,2.00,0.30,840.00,680.00,80.95
44,37,710.00,583.00,82.11,114.00,16.06,9.00,1.27,4.00,0.56,850.00,719.00,84.59
44,38,643.00,457.00,71.07,163.00,25.35,20.00,3.11,3.00,0.47,861.00,657.00,76.31
44,39,695.00,508.00,73.09,173.00,24.89,11.00,1.58,3.00,0.43,840.00,700.00,83.33
44,40,631.00,434.00,68.78,180.00,28.53,15.00,2.38,2.00,0.32,758.00,635.00,83.77
44,41,813.00,665.00,81.80,120.00,14.76,20.00,2.46,8.00,0.98,"1,109.00",824.00,74.30
45,1,395.00,316.00,80.00,69.00,17.47,6.00,1.52,4.00,1.01,547.00,401.00,73.31
45,2,463.00,386.00,83.37,59.00,12.74,12.00,2.59,6.00,1.30,669.00,470.00,70.25
45,3,445.00,334.00,75.06,87.00,19.55,16.00,3.60,8.00,1.80,601.00,452.00,75.21
45,4,586.00,428.00,73.04,135.00,23.04,14.00,2.39,9.00,1.54,788.00,599.00,76.02
45,5,492.00,342.00,69.51,123.00,25.00,16.00,3.25,11.00,2.24,702.00,499.00,71.08
45,6,651.00,480.00,73.73,143.00,21.97,14.00,2.15,14.00,2.15,896.00,667.00,74.44
45,7,705.00,515.00,73.05,167.00,23.69,9.00,1.28,14.00,1.99,"1,015.00",720.00,70.94
45,8,488.00,360.00,73.77,109.00,22.34,11.00,2.25,8.00,1.64,821.00,496.00,60.41
45,9,443.00,330.00,74.49,87.00,19.64,9.00,2.03,17.00,3.84,798.00,458.00,57.39
45,10,473.00,334.00,70.61,116.00,24.52,11.00,2.33,12.00,2.54,792.00,490.00,61.87
45,11,331.00,250.00,75.53,64.00,19.34,10.00,3.02,7.00,2.11,594.00,337.00,56.73
45,12,440.00,322.00,73.18,94.00,21.36,15.00,3.41,9.00,2.05,753.00,446.00,59.23
45,13,405.00,273.00,67.41,114.00,28.15,11.00,2.72,7.00,1.73,612.00,410.00,66.99
45,14,577.00,412.00,71.40,131.00,22.70,19.00,3.29,15.00,2.60,"1,026.00",595.00,57.99
45,15,556.00,435.00,78.24,92.00,16.55,17.00,3.06,12.00,2.16,841.00,570.00,67.78
45,16,407.00,294.00,72.24,90.00,22.11,14.00,3.44,9.00,2.21,666.00,410.00,61.56
45,17,538.00,364.00,67.66,143.00,26.58,14.00,2.60,17.00,3.16,900.00,551.00,61.22
45,18,482.00,312.00,64.73,137.00,28.42,20.00,4.15,13.00,2.70,880.00,489.00,55.57
45,19,243.00,182.00,74.90,45.00,18.52,9.00,3.70,7.00,2.88,463.00,251.00,54.21
45,20,338.00,235.00,69.53,84.00,24.85,7.00,2.07,12.00,3.55,601.00,343.00,57.07
45,21,429.00,264.00,61.54,144.00,33.57,10.00,2.33,11.00,2.56,736.00,437.00,59.38
45,22,424.00,285.00,67.22,116.00,27.36,11.00,2.59,12.00,2.83,801.00,435.00,54.31
45,23,409.00,246.00,60.15,144.00,35.21,8.00,1.96,11.00,2.69,772.00,415.00,53.76
45,24,360.00,227.00,63.06,116.00,32.22,9.00,2.50,8.00,2.22,647.00,373.00,57.65
45,25,286.00,167.00,58.39,105.00,36.71,9.00,3.15,5.00,1.75,479.00,297.00,62.00
45,26,252.00,128.00,50.79,107.00,42.46,4.00,1.59,13.00,5.16,437.00,255.00,58.35
45,27,447.00,253.00,56.60,166.00,37.14,11.00,2.46,17.00,3.80,735.00,457.00,62.18
45,28,369.00,242.00,65.58,111.00,30.08,10.00,2.71,6.00,1.63,646.00,379.00,58.67
45,29,309.00,193.00,62.46,101.00,32.69,8.00,2.59,7.00,2.27,595.00,315.00,52.94
45,30,393.00,312.00,79.39,66.00,16.79,7.00,1.78,8.00,2.04,729.00,398.00,54.60
45,31,371.00,266.00,71.70,89.00,23.99,10.00,2.70,6.00,1.62,629.00,379.00,60.25
45,32,398.00,271.00,68.09,103.00,25.88,18.00,4.52,6.00,1.51,699.00,410.00,58.66
45,33,347.00,246.00,70.89,87.00,25.07,14.00,4.03,0.00,0.00,537.00,350.00,65.18
45,34,455.00,305.00,67.03,126.00,27.69,14.00,3.08,10.00,2.20,809.00,464.00,57.35
45,35,498.00,347.00,69.68,128.00,25.70,13.00,2.61,10.00,2.01,761.00,507.00,66.62
45,36,485.00,305.00,62.89,153.00,31.55,18.00,3.71,9.00,1.86,742.00,493.00,66.44
45,37,456.00,292.00,64.04,137.00,30.04,8.00,1.75,19.00,4.17,778.00,460.00,59.13
45,38,419.00,282.00,67.30,117.00,27.92,11.00,2.63,9.00,2.15,777.00,429.00,55.21
45,39,450.00,295.00,65.56,131.00,29.11,11.00,2.44,13.00,2.89,836.00,464.00,55.50
45,40,443.00,260.00,58.69,165.00,37.25,8.00,1.81,10.00,2.26,740.00,459.00,62.03
45,41,427.00,256.00,59.95,135.00,31.62,18.00,4.22,18.00,4.22,730.00,441.00,60.41
45,42,430.00,237.00,55.12,160.00,37.21,11.00,2.56,22.00,5.12,692.00,438.00,63.29
45,43,448.00,243.00,54.24,182.00,40.63,12.00,2.68,11.00,2.46,779.00,458.00,58.79
45,44,448.00,259.00,57.81,162.00,36.16,14.00,3.13,13.00,2.90,722.00,456.00,63.16
45,45,317.00,171.00,53.94,124.00,39.12,7.00,2.21,15.00,4.73,527.00,323.00,61.29
45,46,336.00,208.00,61.90,108.00,32.14,7.00,2.08,13.00,3.87,615.00,343.00,55.77
45,47,326.00,172.00,52.76,136.00,41.72,5.00,1.53,13.00,3.99,560.00,338.00,60.36
45,48,383.00,193.00,50.39,171.00,44.65,9.00,2.35,10.00,2.61,645.00,393.00,60.93
46,1,432.00,365.00,84.49,49.00,11.34,13.00,3.01,5.00,1.16,719.00,449.00,62.45
46,2,547.00,488.00,89.21,40.00,7.31,18.00,3.29,1.00,0.18,720.00,560.00,77.78
46,3,704.00,576.00,81.82,112.00,15.91,11.00,1.56,5.00,0.71,840.00,712.00,84.76
46,4,543.00,476.00,87.66,47.00,8.66,15.00,2.76,5.00,0.92,722.00,547.00,75.76
46,5,777.00,637.00,81.98,124.00,15.96,15.00,1.93,1.00,0.13,982.00,789.00,80.35
46,6,488.00,429.00,87.91,44.00,9.02,15.00,3.07,0.00,0.00,779.00,520.00,66.75
46,7,639.00,507.00,79.34,111.00,17.37,14.00,2.19,7.00,1.10,766.00,653.00,85.25
46,8,392.00,336.00,85.71,42.00,10.71,10.00,2.55,4.00,1.02,673.00,415.00,61.66
46,9,653.00,570.00,87.29,67.00,10.26,15.00,2.30,1.00,0.15,815.00,665.00,81.60
46,10,947.00,785.00,82.89,137.00,14.47,23.00,2.43,2.00,0.21,"1,194.00",953.00,79.82
46,11,577.00,466.00,80.76,101.00,17.50,7.00,1.21,3.00,0.52,873.00,593.00,67.93
46,12,637.00,572.00,89.80,52.00,8.16,11.00,1.73,2.00,0.31,809.00,649.00,80.22
46,13,560.00,468.00,83.57,77.00,13.75,11.00,1.96,4.00,0.71,751.00,574.00,76.43
46,14,546.00,485.00,88.83,45.00,8.24,13.00,2.38,3.00,0.55,953.00,565.00,59.29
46,15,589.00,463.00,78.61,103.00,17.49,15.00,2.55,8.00,1.36,725.00,596.00,82.21
46,16,683.00,604.00,88.43,63.00,9.22,11.00,1.61,5.00,0.73,837.00,690.00,82.44
46,17,668.00,562.00,84.13,92.00,13.77,8.00,1.20,6.00,0.90,869.00,676.00,77.79
